title,price,Condition,Seller,Number of Ratings,Rating,Watchers,Units Sold,URL
N/A,$20.00,Brand New,N/A,N/A,N/A,N/A,N/A,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
N/A,$99.00,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/364261730197?hash=item54cfb0e795:g:po8AAOSwdn5kP6jB&amdata=enc%3AAQAIAAAA4MSyHsQUXcq9E5uvdOPLZckCjPLmCi5ioy4PwPIq2xozGocOPeVlRq66puZwkmpNVyIJ9HxeQecXZsfNL%2B0nc5dUjHXxi2%2FXbo%2BvqfgorYadEbdMQznppc4sfiOkGIN4EaDgBXR6gFhtIFOcEaIE9a%2BkDUXFNgp7EivRO8cVx%2FDshd%2FAcD2sLJNwWl1diOz926AepeL0aAi4ANmsGbfQsrqcaTnzAhAVaGKT7qy7G9tPZbG9rl2saYXBT03C5Rzj75UCkchU60YGf7kkXUQ%2FTBMhRVPDkonYky8OTpcDVb2e%7Ctkp%3ABFBMkuqStIVi
N/A,$4.32 to $31.70,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/224931476536?hash=item345ef5f438:g:pAgAAOSwC7FiU2uC&amdata=enc%3AAQAIAAAA4PCRjr1lk%2FWD6eVa46cDwayLtddKTGE7%2BYQXCen%2Fs8x4P46O4tqey%2FnxbU0DLLgDnLfnwtdgJpMW6%2FFw1mpfM4Wr1aNzMTC5imj8wrZ%2F75SZDJmf1PifC5df0vsJiuncBk2%2BWBPlVWhuw126iclkhfQbtnPXFHNY1IoU1qXlrB7i8u9AwknVbjkQmqxkM9AVau3dK%2BzwZPtczA5um0A%2BH1mkQ51b1iK3uGRgw6n8PXsBqpVTyVVR345UBbKPKCXHA3IyAdZzWXQhPcjSI9guRqQe6kzDEjxI9FHXmyywA0Jy%7Ctkp%3ABFBMkuqStIVi
N/A,$1.49 to $75.99,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/132210658512?hash=item1ec85e8cd0:g:y8oAAOSwTf9ZSwa7&amdata=enc%3AAQAIAAAA4FAH%2BwV4GzNEy6VmSWxrRhxzU6gMZ1v%2FXGYdW0CVyndAkbQwCsSwJh4OG3%2FGgK8k5aUwP%2FkyfQsfoWG7QkR5hvFl3gK0ikwe8kJWwNLEC3qmcpwmDjZRBLVZ2%2FAim3dWWkhx478A4yVKAz5GbqLMA08uahVh01p35PoLQS6UsrELOwvOlC1D4ZlaPHYpy0jb4AisNCRC74BTU8DvHtWccTat5bM8Qg%2BenP2%2Bk8CnNgZtZ0sbeIZXmJLyRg94b3%2Bpwl6UOtdxz9hgwZ9CYbPDVd1FS09Rhov2ANH%2BZ8EEy2mH%7Ctkp%3ABFBMkuqStIVi
N/A,$3.07 to $17.50,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/224990307979?hash=item346277a68b:g:pxEAAOSw1Ldigv3Y&amdata=enc%3AAQAIAAAA4G4MzrMdR3RlXVK9y942ET5%2FgURxoNYcCzIa9Hzcun11vGvKTtJQ2UggRisco%2FRgd%2BBLGmvaIDIu3mMVtMSlkAdELaTMV%2Fy8gAV6Xa2KWzYIG%2BpUb5DBWXFzJ%2BBLegY1Y%2Bd4rv6LTkUfTFAKd65PMntlckiHtzkFAUHHNaXbFTwKA3STorGDNPkkNg0NEyIbxz4K5YIJVskgRgmk4MJ3Ir6c55hHy0irN0XwQ58fWTog62fu9P%2FcxEvOI6MhIf0RA4rqWBmdzvGaa%2FcjCxaOCFUQNv3veWpycfyHlLod9v34%7Ctkp%3ABFBMkuqStIVi
N/A,$19.76,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/325515345791?epid=16028231334&hash=item4bca39ff7f:g:U7sAAOSwH2Fj1XQ4&amdata=enc%3AAQAIAAAAwD0A3hFX5xgeby7L2YYK9e3%2BzFn7N8eCcgrZSEXUpBsPy2nJzMJcjddpCRwasrAbdSa7Rk5a2nHLe%2FD%2BDXYVZXBmMvFsBKiHroyWP%2B%2Bg26ew%2B4Tr9mBnWDFZDM3YmHznqWyVs1GysbYJtCElY%2BtmaTQcOvU2I4ARJNRS2TiTT0jSTMXfCRqr2RyzKU9SCmZo%2FoTLwCij64v9OukRa9kaiEhQvJNgODudd1nkrrpXDSSuvty%2BkBfo7NaMcpwPPPzV5g%3D%3D%7Ctkp%3ABk9SR5LqkrSFYg
N/A,$3.99,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/351824131249?hash=item51ea5a34b1:g:xs8AAOSwFe5XxZJm
N/A,$8.99,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/193938779141?hash=item2d27a6ec05:g:2d4AAOSw0KJgQwIr
N/A,$3.99,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/351989537458?hash=item51f4361ab2:g:m08AAOSw2gxYrjNL
N/A,$7.89,Brand New,N/A,N/A,N/A,N/A,N/A,https://www.ebay.com/itm/233317703123?hash=item3652d19dd3:g:Ui8AAOSw-btfGOif
